agent,format,session_id,total_tokens,input_tokens,cached_input_tokens,non_cached_input_tokens,output_tokens,reasoning_output_tokens,duration_ms,time_to_first_token_ms,primary_source,source_artifact,source_artifact_tokens
Boyle,executed ipynb,019ec667-6341-7e52-a2c3-0b1cccf9e8fa,1730973,1721987,1599360,122627,8986,2119,629326,12930,sanitized-logs/agent-native/boyle-notebook.jsonl,source-artifacts/agent-native/boyle-analysis-notebook.ipynb,81758
Laplace,percent-cell py,019ec667-910d-7222-b5c0-b0d2698617a3,1091505,1081454,998400,83054,10051,2271,284453,8887,sanitized-logs/agent-native/laplace-percent-cell.jsonl,source-artifacts/agent-native/laplace-analysis-cells.py,1734
